Open time,Open,High,Low,Close,Volume
2024-06-08 16:00:00,69462.0,69512.5,69421.1,69421.1,678.975
2024-06-08 16:15:00,69421.2,69436.8,69334.5,69379.3,1476.51
2024-06-08 16:30:00,69379.3,69454.6,69360.0,69429.0,624.271
2024-06-08 16:45:00,69429.1,69437.4,69371.5,69428.7,817.896
2024-06-08 17:00:00,69428.6,69480.5,69408.0,69479.0,463.303
2024-06-08 17:15:00,69479.0,69507.0,69437.2,69437.2,563.094
2024-06-08 17:30:00,69437.2,69507.7,69372.1,69495.9,614.707
2024-06-08 17:45:00,69495.9,69514.0,69446.3,69485.5,449.135
2024-06-08 18:00:00,69485.5,69523.6,69466.3,69523.6,419.734
2024-06-08 18:15:00,69523.6,69523.6,69460.2,69509.6,546.28
2024-06-08 18:30:00,69509.7,69514.7,69467.0,69481.3,244.305
2024-06-08 18:45:00,69481.4,69504.4,69465.0,69482.0,308.054
2024-06-08 19:00:00,69482.0,69533.0,69482.0,69509.0,476.509
2024-06-08 19:15:00,69509.1,69532.2,69500.0,69513.4,177.624
2024-06-08 19:30:00,69513.4,69513.5,69446.9,69491.4,425.612
2024-06-08 19:45:00,69491.4,69516.9,69471.1,69486.6,211.07
2024-06-08 20:00:00,69486.6,69499.1,69473.0,69486.8,252.835
2024-06-08 20:15:00,69486.8,69514.0,69431.0,69431.1,268.658
2024-06-08 20:30:00,69431.1,69431.1,69351.0,69412.3,964.427
2024-06-08 20:45:00,69412.2,69421.2,69388.6,69400.1,327.824
2024-06-08 21:00:00,69400.0,69415.0,69345.7,69415.0,657.758
2024-06-08 21:15:00,69415.0,69446.6,69388.0,69440.6,377.973
2024-06-08 21:30:00,69440.6,69440.7,69417.1,69424.5,298.26
2024-06-08 21:45:00,69424.4,69468.1,69420.6,69432.1,248.646
2024-06-08 22:00:00,69432.0,69449.4,69412.3,69425.5,241.763
2024-06-08 22:15:00,69425.5,69425.5,69325.0,69331.0,732.701
2024-06-08 22:30:00,69331.0,69375.0,69327.4,69374.9,585.813
2024-06-08 22:45:00,69374.9,69375.0,69335.7,69370.0,265.076
2024-06-08 23:00:00,69370.0,69377.0,69348.1,69359.1,429.006
2024-06-08 23:15:00,69359.0,69370.1,69326.8,69344.6,390.678
