entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2024-06-08 22:15:00,69331.0,2024-06-09 04:00:00,69299.7,31.3,100031.3,31.3
2024-06-09 04:15:00,69339.0,2024-06-09 13:00:00,69676.5,337.5,100368.8,368.8
2024-06-09 13:15:00,69520.3,2024-06-09 16:15:00,69588.1,-67.8,100301.0,301.0
2024-06-09 16:30:00,69606.2,2024-06-09 23:45:00,69667.1,60.9,100361.9,361.9
2024-06-10 00:00:00,69558.1,2024-06-10 02:00:00,69716.0,-157.9,100204.0,203.99999999999997
2024-06-10 02:15:00,69790.9,2024-06-10 05:00:00,69652.3,-138.6,100065.4,65.39999999999998
2024-06-10 05:15:00,69570.6,2024-06-10 11:15:00,69408.5,162.1,100227.5,227.49999999999997
2024-06-10 11:30:00,69558.0,2024-06-10 19:30:00,69728.9,170.9,100398.4,398.4
2024-06-10 19:45:00,69524.2,2024-06-11 09:15:00,67393.98,2130.22,102528.62,2528.62
2024-06-11 18:15:00,67004.8,2024-06-12 01:00:00,67164.8,160.0,102688.62,2688.62
2024-06-12 01:15:00,67000.0,2024-06-12 02:00:00,67396.6,-396.6,102292.02,2292.02
2024-06-12 02:15:00,67540.5,2024-06-12 17:45:00,69796.52,2256.02,104548.04,4548.04
2024-06-12 18:45:00,68837.2,2024-06-12 21:00:00,68253.0,584.2,105132.24,5132.24
2024-06-12 21:15:00,68432.6,2024-06-13 01:30:00,68120.7,-311.9,104820.34,4820.34
2024-06-13 01:45:00,67980.2,2024-06-13 07:00:00,67563.9,416.3,105236.64,5236.64
2024-06-13 07:15:00,67682.5,2024-06-13 09:15:00,67388.1,-294.4,104942.24,4942.240000000001
2024-06-13 09:30:00,67197.3,2024-06-13 10:30:00,67572.8,-375.5,104566.74,4566.740000000001
2024-06-13 10:45:00,67810.6,2024-06-13 12:30:00,67720.0,-90.6,104476.14,4476.14
2024-06-13 12:45:00,67738.5,2024-06-13 21:30:00,66879.0,859.5,105335.64,5335.64
2024-06-13 21:45:00,66983.4,2024-06-14 14:00:00,66983.9,0.5,105336.14,5336.14
2024-06-14 14:15:00,66694.1,2024-06-14 20:00:00,65639.6,1054.5,106390.64,6390.64
2024-06-14 20:15:00,65895.8,2024-06-15 01:00:00,66200.6,304.8,106695.44,6695.4400000000005
2024-06-15 01:15:00,66095.6,2024-06-15 11:00:00,66281.7,-186.1,106509.34,6509.34
2024-06-15 11:15:00,66330.7,2024-06-15 16:30:00,66242.5,-88.2,106421.14,6421.14
2024-06-15 16:45:00,66175.9,2024-06-15 20:15:00,65973.4,202.5,106623.64,6623.64
2024-06-15 20:30:00,66101.8,2024-06-16 04:00:00,66126.6,24.8,106648.44,6648.4400000000005
2024-06-16 04:15:00,66069.6,2024-06-16 05:00:00,66175.3,-105.7,106542.74,6542.740000000001
2024-06-16 05:15:00,66208.3,2024-06-16 19:45:00,66542.5,334.2,106876.94,6876.9400000000005
